Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-02-26,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-02-27,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-02-28,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-02-29,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-01,,3.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-02,,3.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-04,,5.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-05,,12.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-06,,17.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-09,,20.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-12,,20.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-13,,25.0,1.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-14,,26.0,2.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-15,,37.0,2.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-16,,48.0,4.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-17,,58.0,4.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-18,,60.0,5.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-19,,72.0,6.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-20,,90.0,7.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-21,,102.0,10.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-22,,139.0,15.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-23,,201.0,17.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-24,,230.0,17.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-25,,264.0,19.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-26,,302.0,21.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-27,,367.0,25.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-28,,409.0,26.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-29,,454.0,29.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-30,,511.0,31.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-03-31,,584.0,35.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-01,200.0,716.0,44.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-02,,847.0,58.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-03,,986.0,63.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-04,,1171.0,105.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-05,,1251.0,130.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-06,,1320.0,152.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-07,,1423.0,173.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-08,,1468.0,193.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-09,,1572.0,205.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-10,,1666.0,235.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-11,,1761.0,256.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-12,,1825.0,275.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-13,,1914.0,293.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-14,,1983.0,313.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-15,,2070.0,325.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-16,,2160.0,336.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-17,,2268.0,348.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-18,,2418.0,364.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-19,,2535.0,367.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-20,,2629.0,375.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2020-04-21,,2718.0,384.0
